OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/torridge,Torridge District Council,BLR/BID/52,"""Land to east of New Road, Bideford""",245338,125895,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18216,0.44,not owned by a public authority,,not permissioned,,,,12,12,14,,"The site is identified as a housing site through policy (HSC1) of the adopted development plan (TDLP).
Site is part of proposed policy BID07 (Bideford Regeneration Sites) New Road in the emerging North Devon and Torridge Local Plan 2011-2031 for development that results in the enhancement to the southern gateway to Bideford.
No other pertinent planning history in relation to the site.
Residential potential of site considered through SHLAA SHA/BID/52",2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/torridge,Torridge District Council,BLR/BID/66,"""Land south of Longbridge Wharf, New Road, Bideford""",245354,125989,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18217,0.09,not owned by a public authority,,not permissioned,,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=IYZWMAQK60000,6,6,6,,"Residential potential of site considered through SHLAA SHA/BID/66.
Site was subject to planning consent for the redevelopment of the site for provision of 6 self contained flats within a single building (1/0924/2006/FUL). Now lapsed.",2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/torridge,Torridge District Council,BLR/ASW/6,"""Blagdon Manor Hotel And Restaurant, Ashwater""",236977,096987,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18209,0.89,not owned by a public authority,,permissioned,full planning permission,2015-11-17,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NOP3W7QK07X00,1,,,yes,"Residential potential of site considered through SHLAA SHA/ASW/6
Planning permission 1/0525/2015/FUL conversion of hotel to residential PER 17/11/2015. Change of use from hotel to residential",2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/torridge,Torridge District Council,BLR/ASW/7,"""Ashwater Methodist Church, Ashwater""",239274,095843,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18210,0.28,not owned by a public authority,,permissioned,full planning permission,2016-08-25,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O923DKQKL5900,1,,,yes,"Residential potential of site considered through SHLAA SHA/ASW/7
Planning permission 1/0593/2016/FUL for COU to 1 dwelling PER 25/8/2016. Change of use to dwelling with associated conditions and demolition of part of existing building",2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/torridge,Torridge District Council,BLR/GTT/36,"""Vaughan Tapscott Glove Factory, White Lane, Torrington""",249354,119151,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18224,0.06,not owned by a public authority,,not permissioned,,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=HIFGOIQKX0000|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=HIFKYDQKX0000,14,14,14,,"Previous permission has now lapsed. 1/1396/2003/COU - Conversion of redundant building to 14 flats - PER - 12.12.2005
Residential capacity of site considered through SHLAA SHA/GTT/36",2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/torridge,Torridge District Council,BLR/NOR/115,"""Buckleigh Service Reservoir, Bay View Road, Bideford""",243870,128859,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18227,0.28,owned by a public authority,,permissioned,full planning permission,2015-10-02,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NR7TIVQK06T00,3,,,yes,"Residential potential of site considered through SHLAA SHA/NOR/115
Planning permission 1/0702/2015/FUL for three dwellings (resubmission of 1/1173/2014/FUL) PER 2.10.2015. Three dwellings",2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/torridge,Torridge District Council,BLR/LAN/11,"""Former Cattle Market Site, Stibb Cross, Torrington""",242831,114978,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18225,0.21,not owned by a public authority,,not permissioned,,,,6,6,8,,"Residential capacity of site considered through SHLAA SHA/LAN/11
This site (together with part of SHA/LAN/13) is within proposed allocation LAG02 (Land at the Former cattle market and Land to North) for approximately 8 dwellings in the draft North Devon and Torridge Local Plan.",2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/torridge,Torridge District Council,BLR/BID/133,"""Land at Westcombe Depot, Bideford""",244973,126907,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18221,0.59,owned by a public authority,,not permissioned,,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MQDZU8QK07L00,2,2,14,,"Allocated for housing development through saved policy BID7 of the Torridge District Local Plan 1997-2011
Residential potential of site considered through SHLAA SHA/BID/32 (now archived) and SHLAA SHA/BID/133
Planning permission 1/2587/2006/FUL for redevelopment of workshops to 2no. Dwellings - now lapsed.",2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/torridge,Torridge District Council,BLR/BID/49,"""Land east of Devonshire Park, New Road, Bideford""",245301,126030,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18214,0.52,not owned by a public authority,,not permissioned,,,,12,12,22,,"Allocated for housing development through saved policy HSC1 (Torridge District Local Plan 1997-2011)
Site is part of proposed policy BID07 (Bideford Regeneration Sites) New Road (in emerging North Devon and Torridge Local Plan 2011-2031) for development that results in the enhancement to the southern gateway to Bideford.
Residential capacity of site considered through SHLAA SHA/BID/49
No relevant planning history.",2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/torridge,Torridge District Council,BLR/GTT/56,"""Former Creamery Site, Rolle Road, Torrington""",248608,118854,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18245,3.32,not owned by a public authority,,permissioned,outline planning permission,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O0ZW5LQKJ6Y00,136,,,,"Site allocated for housing development through draft Policy GTT01 in emerging North Devon and Torridge Local Plan 2011-2031
Residential potential of site considered through SHLAA SHA/GTT/56 (previously SHA/GTT/11)
Hybrid full application 1/0039/2016/OUTM for the erection of 13 dwellings on northern part of site with new access to Limer's Hill, outline application for the erection of up to 136 dwelling.. Previously developed part of wider site that has planning permission for Hybrid full application for the erection of 13 dwellings on northern part of site with new access to Limer's Hill, outline application for the erection of up to 136 dwelling.",2017-12-22,2017-12-22,
